doc_type,company_name,filing_date,name,lei,title,cusip,identifiers_otherDesc,identifiers_value,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerConditional_desc,issuerConditional_issuerCat,invCountry,isRestrictedSec,fairValLevel,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,descRefInstrmnt_issuerName,descRefInstrmnt_issueTitle,descRefInstrmnt_otherDesc,descRefInstrmnt_otherValue,shareNo,exercisePrice,exercisePriceCurCd,expDt,delta,unrealizedAppr,isCashCollateral,isNonCashCollateral,isLoanByFund
NPORT-P,ALPS ETF Trust,2024-10-29,Wolfspeed Inc,549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,N/A,284975.00000000,NS,USD,2778506.25000000,1.352118933540,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,AMERICAN CENTURY ETF TRUST,2024-10-28,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,SEDOL,BMBVND9,83.0000000000,NS,USD,809.2500000000,0.0002042711,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AMERICAN FUNDS INSURANCE SERIES,2024-11-25,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,CG Symbol,WOLF,418381.000000000000,NS,USD,4058295.700000000000,0.1278835379,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,AMERICAN FUNDS INSURANCE SERIES,2024-11-25,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,CG Symbol,WOLF,12732.000000000000,NS,USD,123500.400000000000,0.0063016335,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AMERICAN FUNDS INSURANCE SERIES,2024-11-25,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,CG Symbol,WOLF,1555078.000000000000,NS,USD,15084256.600000000000,0.0330176199,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,AMERICAN FUNDS INSURANCE SERIES,2024-11-25,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,CG Symbol,WOLF,102210.000000000000,NS,USD,991437.000000000000,0.0265948574,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AQR Funds,2024-11-25,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,Inhouse Asset ID,USAQ6T1,-607275.00000000,NS,USD,-5890567.50000000,-0.49072658246,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AQR Funds,2024-11-25,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,Inhouse Asset ID,USAQ6T1,-914190.00000000,NS,USD,-8867643.00000000,-0.44957378972,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AQR Funds,2024-11-25,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,Inhouse Asset ID,USAQ6T1,-154300.00000000,NS,USD,-1496710.00000000,-0.27221178079,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AQR Funds,2024-11-25,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,Inhouse Asset ID,USAQ6T1,-62685.00000000,NS,USD,-608044.50000000,-0.27552468763,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AQR Funds,2024-11-25,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,Inhouse Asset ID,USAQ6T1,-352712.00000000,NS,USD,-3421306.40000000,-0.47658133476,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AQR Funds,2024-11-25,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,Inhouse Asset ID,USAQ6T1,-67308.00000000,NS,USD,-652887.60000000,-0.24785509413,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AQR Funds,2024-11-25,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,Inhouse Asset ID,USAQ6T1,-365628.00000000,NS,USD,-3546591.60000000,-0.23883774401,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AQR Funds,2024-11-25,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,Inhouse Asset ID,USAQ6T1,-8855.00000000,NS,USD,-85893.50000000,-0.19639050227,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,ARTISAN PARTNERS FUNDS INC,2024-11-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,N/A,2411403.00000000,NS,USD,23390609.10000000,0.492668327674,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AUGUSTAR VARIABLE INSURANCE PRODUCTS FUND INC,2024-11-26,Wolfspeed Inc.,549300OGU88P3AW3TO93,WOLFSPEED INC COMMON STOCK USD.00125,977852102,SEDOL,BMBVND9,772.0000000000,NS,USD,7488.4000000000,0.0092079366,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,BANCROFT FUND LTD,2024-11-29,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,SEDOL,BS54RG7,3125000.00000000,PA,USD,1178125.00000000,1.052795668212,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,BNY MELLON FUNDS TRUST,2024-10-24,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,N/A,8060.00,NS,USD,78585.00,0.0063743439842,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,BNY MELLON INVESTMENT PORTFOLIOS,2024-11-26,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,N/A,54637.00,NS,USD,529978.90,0.0894997663188,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,BNY MELLON INVESTMENT PORTFOLIOS,2024-11-26,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,N/A,508.00,NS,USD,4927.60,0.0030606470711,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,"BNY Mellon Investment Funds IV, Inc.",2024-10-24,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,225447AD3,N/A,N/A,850000.00,PA,USD,615400.00,0.0755323046868,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,Blackstone Alternative Investment Funds,2024-11-21,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,29100.00000000,NS,USD,282270.00000000,0.007689818300,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,Bridge Builder Trust,2024-11-22,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC 0.00000000,977852102,N/A,N/A,5931.00000000,NS,USD,57530.70000000,0.000250083028,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,Bridge Builder Trust,2024-11-22,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC 0.00000000,977852102,N/A,N/A,3590.00000000,NS,USD,34823.00000000,0.000403460049,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,Brinker Capital Destinations Trust,2024-10-25,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC 0.00000000,977852102,N/A,N/A,1019.00000000,NS,USD,9935.25000000,0.001109117851,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALVERT IMPACT FUND INC,2024-11-19,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,70074.00000000,NS,USD,679717.80000000,0.427278541683,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CAPITAL WORLD GROWTH & INCOME FUND,2024-10-29,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,CG Symbol,WOLF,766688.000000000000,NS,USD,7475208.000000000000,0.0058817609,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,COLLEGE RETIREMENT EQUITIES FUND,2024-11-26,Wolfspeed Inc,549300OGU88P3AW3TO93,"Wolfspeed, Inc",977852102,N/A,N/A,62345.00000000,NS,USD,604746.50000000,0.002352792867,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,COLLEGE RETIREMENT EQUITIES FUND,2024-11-26,Wolfspeed Inc,549300OGU88P3AW3TO93,"Wolfspeed, Inc",977852102,N/A,N/A,84747.00000000,NS,USD,822045.90000000,0.000630421141,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,COLUMBIA FUNDS SERIES TRUST,2024-10-25,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,Internal Id,977852102,117057.000000000000,NS,USD,1141305.750000000000,0.0428884018,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,DBX ETF TRUST,2024-10-28,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,371.00000000,NS,USD,3617.25000000,0.059172842138,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,DELAWARE GROUP EQUITY FUNDS V,2024-10-28,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AB8,SEDOL,BN4BB62,670000.00000000,PA,USD,280730.00000000,0.030941311282,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,DELAWARE VIP TRUST,2024-11-25,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AB8,SEDOL,BN4BB62,29000.00000000,PA,USD,11542.00000000,0.028689786472,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,ELLSWORTH GROWTH & INCOME FUND LTD,2024-11-29,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,225447AD3,SEDOL,BMV7N71,1900000.00000000,PA,USD,1333800.00000000,0.956663820569,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,"EMPOWER FUNDS, INC.",2024-11-25,Wolfspeed Inc.,549300OGU88P3AW3TO93,WOLF 1.875 12/01/29,977852AD4,N/A,N/A,1716000,NS,USD,638352,0.1004738883,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,"EMPOWER FUNDS, INC.",2024-11-25,Wolfspeed Inc.,549300OGU88P3AW3TO93,Wolfspeed Inc. COM,977852102,N/A,N/A,111402,NS,USD,1080599.38,0.0904141913,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,EQ ADVISORS TRUST,2024-11-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852AD4,N/A,N/A,324000.00000000,PA,USD,120528.00000000,0.257015151615,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,EQ ADVISORS TRUST,2024-11-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852AB8,N/A,N/A,130000.00000000,PA,USD,51090.00000000,0.108944843488,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,EQ ADVISORS TRUST,2024-11-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",225447AD3,N/A,N/A,100000.00000000,PA,USD,69700.00000000,0.148628999631,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,EQ ADVISORS TRUST,2024-11-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,N/A,76030.00000000,NS,USD,737491.00000000,0.112427753773,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,EQ ADVISORS TRUST,2024-11-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,N/A,10208.00000000,NS,USD,99017.60000000,0.002506824735,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,EQ ADVISORS TRUST,2024-11-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,N/A,24367.00000000,NS,USD,236359.90000000,0.011272409290,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,EQ ADVISORS TRUST,2024-11-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,N/A,4319.00000000,NS,USD,41894.30000000,0.004727668082,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,EQ ADVISORS TRUST,2024-11-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,N/A,25574.00000000,NS,USD,248067.80000000,0.013443486176,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,EQ ADVISORS TRUST,2024-11-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,N/A,12511.00000000,NS,USD,121356.70000000,0.007139370468,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,FIDELITY ADVISOR SERIES II,2024-11-25,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC CONV 1.875% 12/01/2029,977852AD4,N/A,N/A,51247000.00000000,PA,USD,19063884.00000000,0.134647737900,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,FIDELITY CONCORD STREET TRUST,2024-10-29,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,N/A,759660.00000000,NS,USD,7406685.00000000,0.017680678896,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,FIDELITY CONCORD STREET TRUST,2024-10-29,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,N/A,169273.00000000,NS,USD,1650411.75000000,0.002247010185,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,FIDELITY CONCORD STREET TRUST,2024-10-29,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,N/A,226731.00000000,NS,USD,2210627.25000000,0.002240169759,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,FIDELITY COVINGTON TRUST,2024-10-29,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC CONV 1.875% 12/01/2029,977852AD4,N/A,N/A,110000.00000000,PA,USD,41932.38000000,0.153605069819,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,FIDELITY FINANCIAL TRUST,2024-10-29,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC CONV 1.875% 12/01/2029,977852AD4,N/A,N/A,31275000.00000000,PA,USD,11922136.65000000,0.677074200555,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,FIDELITY FINANCIAL TRUST,2024-10-29,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC CONV 1.75% 05/01/2026,225447AD3,N/A,N/A,2078000.00000000,PA,USD,1494082.00000000,0.084850929444,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,FIDELITY INCOME FUND /MA/,2024-10-29,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC CONV 1.875% 12/01/2029,977852AD4,N/A,N/A,1381000.00000000,PA,USD,526441.91000000,0.009707726999,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,FIDELITY INCOME FUND /MA/,2024-10-29,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC CONV 1.875% 12/01/2029,977852AD4,N/A,N/A,9366000.00000000,PA,USD,3570351.14000000,0.009061387377,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,FIDELITY MT VERNON STREET TRUST,2024-10-29,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,N/A,360805.00000000,NS,USD,3517848.75000000,0.005407787930,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
